,link,text,date,No_of_Likes,No_of_tweets
149,https://twitter.com/BBCNews/status/1819398970356961526#m,Dolphin spotted in River Thames in west London https://bbc.in/4fvCbuN,"Aug 2, 2024 · 3:44 PM UTC",401,87
150,https://twitter.com/BBCNews/status/1819395552473194576#m,Hospice holds man's wedding at five hours' notice https://bbc.in/3AcuJVy,"Aug 2, 2024 · 3:31 PM UTC",150,16
151,https://twitter.com/BBCNews/status/1819393029741904007#m,Mum and daughter graduate together https://bbc.in/3YtG1yr,"Aug 2, 2024 · 3:21 PM UTC",155,25
152,https://twitter.com/BBCNews/status/1819392344937951656#m,New find hints Wales fully-integrated into Roman Britain https://bbc.in/4fmllyu,"Aug 2, 2024 · 3:18 PM UTC",66,24
153,https://twitter.com/BBCNews/status/1819388745067483589#m,"Two years, secret talks, high stakes: How prisoner swap deal was struck https://bbc.in/3LPMlsE","Aug 2, 2024 · 3:04 PM UTC",55,14
154,https://twitter.com/BBCNews/status/1819385317498962166#m,Man charged over death of pedestrian hit by lorry https://bbc.in/4drF5yT,"Aug 2, 2024 · 2:50 PM UTC",21,33
155,https://twitter.com/BBCNews/status/1819382509395669087#m,Brain injury rehab could close over lack of clients https://bbc.in/3WR4DQQ,"Aug 2, 2024 · 2:39 PM UTC",21,20
156,https://twitter.com/BBCNews/status/1819376813673533568#m,GB win team jumping gold for first time since 2012 https://bbc.in/4c7UraN,"Aug 2, 2024 · 2:16 PM UTC",279,21
157,https://twitter.com/BBCNews/status/1819369713727574273#m,Wrongly convicted postmaster's delight at new baby https://bbc.in/3Aa3WJr,"Aug 2, 2024 · 1:48 PM UTC",82,12
158,https://twitter.com/BBCNews/status/1819363880130191402#m,Timoney and Corrigan will 'keep pushing' after Olympic debut https://bbc.in/4dvSYfL,"Aug 2, 2024 · 1:25 PM UTC",37,7
159,https://twitter.com/BBCNews/status/1819363345025175636#m,Former NI & Newcastle midfielder Cassidy dies at 73 https://bbc.in/4fvOWG0,"Aug 2, 2024 · 1:23 PM UTC",38,11
160,https://twitter.com/BBCNews/status/1819360427320471908#m,Hospital failings to be examined by councillors https://bbc.in/3SxLNeQ,"Aug 2, 2024 · 1:11 PM UTC",27,10
161,https://twitter.com/BBCNews/status/1819360203197800509#m,"'I didn't feel I was a good mum, or a good teacher' https://bbc.in/3WMK0oN","Aug 2, 2024 · 1:10 PM UTC",53,24
162,https://twitter.com/BBCNews/status/1819359866495861099#m,Widow donates 10 specialist chairs to cancer ward https://bbc.in/3WyvwaC,"Aug 2, 2024 · 1:09 PM UTC",79,7
163,https://twitter.com/BBCNews/status/1819359495669133709#m,Russian Coms fraud platform shut down by UK crime body https://bbc.in/3YzMus1,"Aug 2, 2024 · 1:08 PM UTC",70,11
164,https://twitter.com/BBCNews/status/1819355222843572735#m,Wildlife rescue closes service amid daily 'misuse' https://bbc.in/4ccRWE2,"Aug 2, 2024 · 12:51 PM UTC",26,12
165,https://twitter.com/BBCNews/status/1819351267786760697#m,Flower show 'cautiously confident' over future https://bbc.in/3YsJugM,"Aug 2, 2024 · 12:35 PM UTC",20,10
166,https://twitter.com/BBCNews/status/1819350126000812307#m,Scientists analyse sound to help endangered animals https://bbc.in/3Sy3ECg,"Aug 2, 2024 · 12:30 PM UTC",35,8
167,https://twitter.com/BBCSport/status/1819319940203049405#m,IT'S GOLD FOR TEAM GB! 🥇  What a moment for Emily Craig and Imogen Grant in the women's lightweight double sculls.  They did it in some style!   #BBCOlympics #Olympics #Paris2024,"Aug 2, 2024 · 10:30 AM UTC",3231,36
168,https://twitter.com/BBCSport/status/1819348129822478682#m,This was the moment we all knew it could be Bryony Page's day at #Paris2024...  And it was! 🥇  #Olympics #BBCOlympics,"Aug 2, 2024 · 12:22 PM UTC",6774,56
169,https://twitter.com/BBCNews/status/1819345606151659861#m,New delivery delay for CalMac ferry Glen Sannox https://bbc.in/3yrC8zF,"Aug 2, 2024 · 12:12 PM UTC",21,16
170,https://twitter.com/BBCNews/status/1819343800436761089#m,Rolls-Royce to give each worker £700 in shares https://bbc.in/3AheCpq,"Aug 2, 2024 · 12:05 PM UTC",154,22
171,https://twitter.com/BBCBreaking/status/1819341224358137884#m,"Violent protests after Southport attack reveal organising tactics of the far-right, BBC Verify analysis shows https://bbc.in/3yonoRY","Aug 2, 2024 · 11:55 AM UTC",481,1
172,https://twitter.com/BBCNews/status/1819334236433719528#m,Juror swears oath on river in legal first https://bbc.in/4dphwXC,"Aug 2, 2024 · 11:27 AM UTC",61,46
173,https://twitter.com/BBCNews/status/1819327560007729432#m,Corrigan and Timoney sixth in debut Olympic final https://bbc.in/3Ac8wXG,"Aug 2, 2024 · 11:01 AM UTC",40,17
174,https://twitter.com/BBCNews/status/1819324140169404797#m,Children need 'honesty' from parents over deadly attacks https://bbc.in/4cc1z6f,"Aug 2, 2024 · 10:47 AM UTC",93,156
175,https://twitter.com/BBCNews/status/1819318474717516109#m,Ireland's O'Donovan and McCarthy win gold in Paris https://bbc.in/4ccK3OW,"Aug 2, 2024 · 10:25 AM UTC",352,20
176,https://twitter.com/BBCNews/status/1819316530359751092#m,Landmarks to light up pink after Southport attack https://bbc.in/4ccB6W7,"Aug 2, 2024 · 10:17 AM UTC",65,0
177,https://twitter.com/BBCNews/status/1819314835122794730#m,Mum calls for change after daughter's suicide https://bbc.in/3WtlQhI,"Aug 2, 2024 · 10:10 AM UTC",42,20
178,https://twitter.com/BBCNews/status/1819308139491062074#m,'My rapist is now my stalker': Woman blames years of police errors https://bbc.in/3WOaXbq,"Aug 2, 2024 · 9:43 AM UTC",87,39
179,https://twitter.com/BBCNews/status/1819306453892534504#m,Homelessness rise squeezing Housing Executive's budget https://bbc.in/3WOlROH,"Aug 2, 2024 · 9:37 AM UTC",30,28
180,https://twitter.com/BBCNews/status/1819305084951351383#m,"Abernethy Pearl expected to fetch up to £60,000 at auction https://bbc.in/3YvlDxc","Aug 2, 2024 · 9:31 AM UTC",65,9
181,https://twitter.com/BBCNews/status/1819297910787379476#m,Minister presses BBC boss over Huw Edwards pay https://bbc.in/3SsQK8v,"Aug 2, 2024 · 9:03 AM UTC",25,0
182,https://twitter.com/BBCNews/status/1819297602690494474#m,Conan Doyle and Houdini letters up for auction https://bbc.in/4c8GedN,"Aug 2, 2024 · 9:02 AM UTC",40,14
183,https://twitter.com/BBCNews/status/1819295637420061022#m,AIB increases pre-tax profit to almost €1.3bn https://bbc.in/3Wu5uFx,"Aug 2, 2024 · 8:54 AM UTC",14,20
184,https://twitter.com/BBCNews/status/1819292630879985977#m,Olympic swimmer Tom Dean is first to join Strictly https://bbc.in/4fuYTDp,"Aug 2, 2024 · 8:42 AM UTC",217,46
185,https://twitter.com/BBCNews/status/1819289421469859953#m,Son calls to end 'shame' over bowel cancer tests https://bbc.in/3YvQf1C,"Aug 2, 2024 · 8:29 AM UTC",66,3
186,https://twitter.com/BBCNews/status/1819289418416435460#m,Vehicle hits gates at Irish Government Buildings https://bbc.in/3LM9Y5z,"Aug 2, 2024 · 8:29 AM UTC",26,22
187,https://twitter.com/BBCNews/status/1819288427860316606#m,Salon owner 'exhausted' by legal battle with L'Oréal https://bbc.in/3WOfpav,"Aug 2, 2024 · 8:25 AM UTC",28,25
188,https://twitter.com/BBCNews/status/1819276143276458351#m,Church and graves threatened by coastal erosion https://bbc.in/3A8XCBS,"Aug 2, 2024 · 7:36 AM UTC",43,27
189,https://twitter.com/BBCNews/status/1819273567474745675#m,Coroner's concerns around mental health practices https://bbc.in/3A88TCt,"Aug 2, 2024 · 7:26 AM UTC",32,14
190,https://twitter.com/BBCNews/status/1819269936868467128#m,Roman pottery digs made prisoner 'feel human again' https://bbc.in/3YvetZQ,"Aug 2, 2024 · 7:12 AM UTC",53,12
191,https://twitter.com/BBCNews/status/1819260300304003158#m,'Horrific' seal deaths linked to plastic toys https://bbc.in/3WuVL1F,"Aug 2, 2024 · 6:33 AM UTC",83,26
192,https://twitter.com/BBCNews/status/1819249509681025411#m,The junior doctors' strikes may be over. But is trouble ahead? https://bbc.in/46tkNCQ,"Aug 2, 2024 · 5:50 AM UTC",54,42
193,https://twitter.com/BBCNews/status/1819247465700208836#m,Seven charged over Hartlepool unrest after Southport stabbings https://bbc.in/3WMMUdb,"Aug 2, 2024 · 5:42 AM UTC",95,0
194,https://twitter.com/BBCNews/status/1819135935658721382#m,Cinema Judi Dench helped to save up for sale https://bbc.in/3WJ2rup,"Aug 1, 2024 · 10:19 PM UTC",43,28
195,https://twitter.com/BBCNews/status/1819135767182037079#m,Disabled woman may have to take bus to wedding https://bbc.in/4d4krW1,"Aug 1, 2024 · 10:18 PM UTC",28,30
196,https://twitter.com/BBCNews/status/1819130697086324847#m,St Mirren have 'no fear' after beating Valur to set up Brann tie https://bbc.in/4d9wGka,"Aug 1, 2024 · 9:58 PM UTC",23,13
197,https://twitter.com/BBCNews/status/1819129946976968900#m,Companies fined after man crushed by machinery https://bbc.in/4dc4aOU,"Aug 1, 2024 · 9:55 PM UTC",33,11
198,https://twitter.com/BBCNews/status/1819129813191299385#m,"Steven Gerrard donates £10,000 to Southport attack victims https://bbc.in/3A765FP","Aug 1, 2024 · 9:55 PM UTC",502,1
199,https://twitter.com/BBCNews/status/1819129736955601099#m,TV industry letter accuses BBC of antisemitism https://bbc.in/3LO69wx,"Aug 1, 2024 · 9:55 PM UTC",149,109
200,https://twitter.com/BBCNews/status/1819129467538702501#m,Murray hailed 'greatest sportsman' as career ends with Olympic exit https://bbc.in/46wGBh5,"Aug 1, 2024 · 9:53 PM UTC",208,27
201,https://twitter.com/BBCNews/status/1819127875703836900#m,What's happening on day seven in Paris? https://bbc.in/46yn1RK,"Aug 1, 2024 · 9:47 PM UTC",28,20
202,https://twitter.com/BBCNews/status/1819120480244122082#m,Footballer jailed for stalking and harassment https://bbc.in/3YwKVLd,"Aug 1, 2024 · 9:18 PM UTC",63,29
203,https://twitter.com/BBCNews/status/1819120465849335978#m,Former Leicester City boss Craig Shakespeare dies aged 60 https://bbc.in/3Wt4cuo,"Aug 1, 2024 · 9:18 PM UTC",58,8
204,https://twitter.com/BBCNews/status/1819106442734879205#m,Mum's anger over Game of Thrones passport mix-up https://bbc.in/3YwKT63,"Aug 1, 2024 · 8:22 PM UTC",29,22
205,https://twitter.com/BBCNews/status/1819106392248029480#m,Catholic Church apologises to survivor of sex abuse https://bbc.in/4dJVZJx,"Aug 1, 2024 · 8:22 PM UTC",34,17
206,https://twitter.com/BBCNews/status/1819106307984466245#m,Pilots' action 'to cost Aer Lingus €55m' https://bbc.in/3LQiXma,"Aug 1, 2024 · 8:21 PM UTC",16,4
207,https://twitter.com/BBCNews/status/1819106257682243754#m,Knitters' Olympics postbox toppers for home towns https://bbc.in/46wMavT,"Aug 1, 2024 · 8:21 PM UTC",122,3
208,https://twitter.com/BBCNews/status/1819098211295924529#m,Council offers cash for climate change schemes https://bbc.in/3LR4gPC,"Aug 1, 2024 · 7:49 PM UTC",25,35
209,https://twitter.com/BBCBreaking/status/1819096913800466636#m,Andy Murray knocked out of Paris Olympics men's doubles as his tennis playing career comes to an end   Follow live https://bbc.in/46t0WUk,"Aug 1, 2024 · 7:44 PM UTC",468,138
210,https://twitter.com/BBCNews/status/1819078334015250474#m,Half-a-billion-year-old slug reveals mollusc origins https://bbc.in/4d5VnOk,"Aug 1, 2024 · 6:30 PM UTC",40,20
211,https://twitter.com/BBCNews/status/1819076107120857295#m,"BBC not aware of 'deeply disturbing' specifics, says director general https://bbc.in/3yyeWQ9","Aug 1, 2024 · 6:21 PM UTC",26,0
212,https://twitter.com/BBCNews/status/1819072636099371236#m,Crowds at Devon agricultural show https://bbc.in/46z3O2i,"Aug 1, 2024 · 6:08 PM UTC",36,27
213,https://twitter.com/BBCNews/status/1819069565998936460#m,Hospital inquiry rejects NHS board's report as evidence https://bbc.in/46z2Umq,"Aug 1, 2024 · 5:55 PM UTC",23,4
214,https://twitter.com/BBCNews/status/1819063034406383881#m,Man jailed for stabbing friend to death with golf club https://bbc.in/4fqiKUn,"Aug 1, 2024 · 5:29 PM UTC",41,35
215,https://twitter.com/BBCNews/status/1819062747809591502#m,McIlroy hails 'awesome' Paris atmosphere after 68 https://bbc.in/4d4pZQ1,"Aug 1, 2024 · 5:28 PM UTC",32,11
216,https://twitter.com/BBCBreaking/status/1819058266095133180#m,BBC boss defends not sacking Huw Edwards despite knowing of his arrest over most serious category of indecent images of children https://bbc.in/4dnDudu,"Aug 1, 2024 · 5:11 PM UTC",175,3
217,https://twitter.com/BBCNews/status/1819054886882795707#m,Airport operator to give up lease after 23 years https://bbc.in/4duNC4l,"Aug 1, 2024 · 4:57 PM UTC",30,7
218,https://twitter.com/BBCNews/status/1819054027528712387#m,Whistleblowers criticise BBC over Huw Edwards inquiry https://bbc.in/4fp0avH,"Aug 1, 2024 · 4:54 PM UTC",50,0
219,https://twitter.com/BBCNews/status/1819053800331579869#m,It's been a dismal Scottish summer - will August be better? https://bbc.in/4drR6EI,"Aug 1, 2024 · 4:53 PM UTC",19,13
220,https://twitter.com/BBCNews/status/1819041202592743914#m,British tech tycoon: I only got justice because I'm rich https://bbc.in/46sXZ6o,"Aug 1, 2024 · 4:03 PM UTC",96,15
221,https://twitter.com/BBCNews/status/1819039096137711868#m,Welsh environment agency plans to cut 265 jobs https://bbc.in/3AaBDKP,"Aug 1, 2024 · 3:54 PM UTC",11,9
222,https://twitter.com/BBCNews/status/1819037989529330101#m,"Cult leader died in prison cell bed, inquest hears https://bbc.in/4fGWfe7","Aug 1, 2024 · 3:50 PM UTC",22,11
223,https://twitter.com/BBCNews/status/1819037921996857829#m,Rugby star Mike Phillips admits drink-driving https://bbc.in/4dJIdqj,"Aug 1, 2024 · 3:50 PM UTC",17,10
224,https://twitter.com/BBCNews/status/1819037919010521296#m,Tributes paid to 'best ice cream man ever' https://bbc.in/4fryQgs,"Aug 1, 2024 · 3:50 PM UTC",37,5
225,https://twitter.com/BBCNews/status/1819037882264199183#m,Pet python found after escape into art gallery https://bbc.in/3YrFb5k,"Aug 1, 2024 · 3:50 PM UTC",29,11
226,https://twitter.com/BBCNews/status/1819037174907416618#m,Tributes paid to boy who drowned in Windermere https://bbc.in/4c96KDC,"Aug 1, 2024 · 3:47 PM UTC",17,3
227,https://twitter.com/BBCNews/status/1819037173548527668#m,More than 800 plaques stolen from crematorium https://bbc.in/4c7et5h,"Aug 1, 2024 · 3:47 PM UTC",20,7
228,https://twitter.com/BBCNews/status/1819037171895996504#m,Woman who died in house fire named locally https://bbc.in/4c7eqX9,"Aug 1, 2024 · 3:47 PM UTC",19,5
229,https://twitter.com/BBCNews/status/1819031011092463849#m,"National violent disorder unit to be set up after ""thugs"" rioted following Southport knife attack, says PM Keir Starmer   Follow live https://bbc.in/3WLXhOp","Aug 1, 2024 · 3:22 PM UTC",53,0
230,https://twitter.com/BBCNews/status/1819030640123076881#m,Chip shop caught serving after hours https://bbc.in/4c4VF6B,"Aug 1, 2024 · 3:21 PM UTC",575,625
231,https://twitter.com/BBCNews/status/1819030220030054552#m,New hospital plans to continue despite NHS review https://bbc.in/4cbmAOm,"Aug 1, 2024 · 3:19 PM UTC",19,4
232,https://twitter.com/BBCNews/status/1819028727629561950#m,"Animal cruelty on a 'sharp rise', says RSPCA https://bbc.in/4cdGw2W","Aug 1, 2024 · 3:13 PM UTC",35,16
233,https://twitter.com/BBCNews/status/1819024792315408590#m,Guessing game over bin collections continues https://bbc.in/3SwrGh4,"Aug 1, 2024 · 2:58 PM UTC",14,5
234,https://twitter.com/BBCNews/status/1819017931117728073#m,St Andrews rector removed from role after Gaza 'genocide' comments https://bbc.in/46tiS1k,"Aug 1, 2024 · 2:30 PM UTC",90,65
235,https://twitter.com/BBCNews/status/1819017840097157545#m,Founder of collapsed social media site charged with fraud https://bbc.in/4c3mOXG,"Aug 1, 2024 · 2:30 PM UTC",19,11
236,https://twitter.com/BBCNews/status/1819012025193758775#m,Inquest into toddler death to hear from medics https://bbc.in/4cawYWo,"Aug 1, 2024 · 2:07 PM UTC",22,6
237,https://twitter.com/BBCNews/status/1819007899219210520#m,'Slave auction' pupils to face disciplinary in South Africa https://bbc.in/3yoq16w,"Aug 1, 2024 · 1:50 PM UTC",35,31
238,https://twitter.com/BBCNews/status/1819003928723300800#m,Scottish Tories will elect new leader by end of September https://bbc.in/3Yrru6q,"Aug 1, 2024 · 1:35 PM UTC",23,11
239,https://twitter.com/BBCNews/status/1819000607929155754#m,Guinea pig home in cash crunch after Facebook funding row https://bbc.in/4dl83Bb,"Aug 1, 2024 · 1:21 PM UTC",37,8
240,https://twitter.com/BBCNews/status/1818998332062105934#m,Tommy Robinson not welcome in Glasgow - council leader https://bbc.in/4c7gfn6,"Aug 1, 2024 · 1:12 PM UTC",3361,1463
241,https://twitter.com/BBCNews/status/1818994844527632703#m,"Daughter's death 'wholly preventable', says mother https://bbc.in/3Ywd2tZ","Aug 1, 2024 · 12:59 PM UTC",30,5
242,https://twitter.com/BBCNews/status/1818994840920543287#m,Boy tells murder trial he stabbed 15-year-old girl https://bbc.in/3Ag6NAh,"Aug 1, 2024 · 12:59 PM UTC",16,16
243,https://twitter.com/BBCNews/status/1818994839695880654#m,Uri Geller 'elated' after buying Lennon's glasses https://bbc.in/3yqEdMb,"Aug 1, 2024 · 12:58 PM UTC",17,13
244,https://twitter.com/BBCNews/status/1818994839356080601#m,Ex-Police Federation chair faces misconduct hearing https://bbc.in/3YrZKhZ,"Aug 1, 2024 · 12:58 PM UTC",8,3
245,https://twitter.com/BBCNews/status/1818994814118937050#m,Ireland breaching asylum seekers' rights - High Court https://bbc.in/3WrOXC8,"Aug 1, 2024 · 12:58 PM UTC",19,20
246,https://twitter.com/BBCNews/status/1818993986817683501#m,Russia to free Gershkovich and Whelan in major prisoner swap https://bbc.in/3YsJptv,"Aug 1, 2024 · 12:55 PM UTC",55,7
247,https://twitter.com/BBCNews/status/1818993665903042611#m,'Lack of SEND funding partly behind exclusion rise' https://bbc.in/3WNeM0S,"Aug 1, 2024 · 12:54 PM UTC",19,13
248,https://twitter.com/BBCNews/status/1818989893005066273#m,"Plant remains survived 3,000 years on Bronze Age bracelets https://bbc.in/3SwQdCx","Aug 1, 2024 · 12:39 PM UTC",49,9
249,https://twitter.com/BBCNews/status/1818985151835115994#m,Thief who stole 800 chocolate eggs jailed https://bbc.in/4fkB0OO,"Aug 1, 2024 · 12:20 PM UTC",381,211
250,https://twitter.com/BBCNews/status/1818983446905020668#m,Interest rates cut... but don't expect more straight away https://bbc.in/3YslqL3,"Aug 1, 2024 · 12:13 PM UTC",16,9
251,https://twitter.com/BBCNews/status/1818982623416402093#m,GB medal hope Wightman pulls out of Olympics https://bbc.in/4fkA2lE,"Aug 1, 2024 · 12:10 PM UTC",17,13
252,https://twitter.com/BBCNews/status/1818982329789841748#m,Two arrested after £100k cash seized in drugs raid https://bbc.in/3SsQs1F,"Aug 1, 2024 · 12:09 PM UTC",31,6
253,https://twitter.com/BBCNews/status/1818980377312031179#m,Man suffers life-threatening injuries in A75 crash https://bbc.in/46wCnWw,"Aug 1, 2024 · 12:01 PM UTC",15,2
254,https://twitter.com/BBCNews/status/1818975816878784693#m,Three men who died in car crash near Falkirk named https://bbc.in/3WLBq9P,"Aug 1, 2024 · 11:43 AM UTC",21,7
255,https://twitter.com/BBCNews/status/1818975277990502456#m,Teenage medal hope Brown suffers dislocated shoulder https://bbc.in/3Sw7qw2,"Aug 1, 2024 · 11:41 AM UTC",28,9
256,https://twitter.com/BBCNews/status/1818974402635047391#m,Ex-Wales rugby player cleared of assaulting pupil https://bbc.in/3LNb3Kd,"Aug 1, 2024 · 11:37 AM UTC",20,7
257,https://twitter.com/BBCBreaking/status/1818974052632924566#m,"Southport, UK, triple murder suspect named for first time as Axel Rudakubana - follow live updates https://bbc.in/3WMjkEI","Aug 1, 2024 · 11:36 AM UTC",340,4
258,https://twitter.com/BBCNews/status/1818974058190356657#m,Rural crime claim costs drop by a third in county https://bbc.in/3WKL4JD,"Aug 1, 2024 · 11:36 AM UTC",14,7
259,https://twitter.com/BBCNews/status/1818970504314724629#m,Stephen Lawrence's body to be returned to the UK https://bbc.in/4dlX7Tc,"Aug 1, 2024 · 11:22 AM UTC",71,114
260,https://twitter.com/BBCNews/status/1818969049776242811#m,Rapist's jail term increased on appeal https://bbc.in/4d5dq74,"Aug 1, 2024 · 11:16 AM UTC",92,15
261,https://twitter.com/BBCNews/status/1818968753234739408#m,Police chief says GAA celebrations not professional https://bbc.in/3WK3CK9,"Aug 1, 2024 · 11:15 AM UTC",16,4
262,https://twitter.com/BBCBreaking/status/1818967035159683581#m,"Interest rates cut to 5% from 5.25% by Bank of England, the first drop since onset of pandemic in March 2020 - follow live https://bbc.in/3WK33A4","Aug 1, 2024 · 11:08 AM UTC",505,109
263,https://twitter.com/BBCNews/status/1818965569678213335#m,Lola Anderson's dad kept her diary dream alive https://bbc.in/3A8HobZ,"Aug 1, 2024 · 11:02 AM UTC",65,7
264,https://twitter.com/BBCNews/status/1818963659055304950#m,Family terrified as home targeted in racist attack https://bbc.in/3LPJ5Oa,"Aug 1, 2024 · 10:55 AM UTC",46,103
265,https://twitter.com/BBCNews/status/1818963658593964435#m,Motocross rider died from brain injury after fall https://bbc.in/3LPJ50C,"Aug 1, 2024 · 10:55 AM UTC",18,0
266,https://twitter.com/BBCNews/status/1818962218358124563#m,Stirling sex attacker could face life sentence https://bbc.in/4c7qacf,"Aug 1, 2024 · 10:49 AM UTC",19,13
267,https://twitter.com/BBCNews/status/1818962176658325925#m,Sunshine-loving fish spotted off Yorkshire coast https://bbc.in/3ynrR7y,"Aug 1, 2024 · 10:49 AM UTC",16,5
268,https://twitter.com/BBCNews/status/1818961368243990620#m,Serious road casualties drop in Wales since 20mph https://bbc.in/4fvYQan,"Aug 1, 2024 · 10:45 AM UTC",131,47
269,https://twitter.com/BBCNews/status/1818958038562172975#m,Disabled children face 80-mile round trip for care https://bbc.in/3SsM7LV,"Aug 1, 2024 · 10:32 AM UTC",45,6
270,https://twitter.com/BBCNews/status/1818958035319931301#m,New Isles of Scilly ferry link scrapped by bosses https://bbc.in/4ftLIT7,"Aug 1, 2024 · 10:32 AM UTC",11,4
271,https://twitter.com/BBCNews/status/1818958035185729632#m,"Man, 80, in planning dispute over cars for Ukraine https://bbc.in/3SsM8zt","Aug 1, 2024 · 10:32 AM UTC",19,5
272,https://twitter.com/BBCNews/status/1818957674114929073#m,"Woman, 34, dies in hospital after dog attack https://bbc.in/4fpEUpN","Aug 1, 2024 · 10:31 AM UTC",34,15
273,https://twitter.com/BBCNews/status/1818957672554647959#m,Yoro out for three months and Hojlund six weeks https://bbc.in/4c7Eodg,"Aug 1, 2024 · 10:31 AM UTC",17,4
274,https://twitter.com/BBCBreaking/status/1818956072926789890#m,"Two children injured in Southport, UK, stabbing discharged with five others in stable condition, hospital says https://bbc.in/4dnSAQ5","Aug 1, 2024 · 10:24 AM UTC",508,0
275,https://twitter.com/BBCNews/status/1818955954991276436#m,Take waste home plea over Edinburgh Festival bin strike https://bbc.in/4c74JYU,"Aug 1, 2024 · 10:24 AM UTC",15,9
276,https://twitter.com/BBCNews/status/1818951770669813775#m,Shorten wins silver with Team GB in women's four https://bbc.in/4dodONZ,"Aug 1, 2024 · 10:07 AM UTC",84,9
277,https://twitter.com/BBCBreaking/status/1818950565843395065#m,GPs in England vote in favour of 'work-to-rule' action which could limit the number of daily appointments available https://bbc.in/4c7s6l0,"Aug 1, 2024 · 10:03 AM UTC",219,231
278,https://twitter.com/BBCNews/status/1818950616833556521#m,Missed chances before girl killed by mum's partner https://bbc.in/4c7BNjw,"Aug 1, 2024 · 10:03 AM UTC",22,9
279,https://twitter.com/BBCNews/status/1818950092218356178#m,Schoolchildren to be taught dangers of vaping https://bbc.in/4dqKXs6,"Aug 1, 2024 · 10:01 AM UTC",77,49
280,https://twitter.com/BBCNews/status/1818947787859374478#m,Doyle and Lynch win Olympic bronze in double sculls https://bbc.in/46w91YH,"Aug 1, 2024 · 9:52 AM UTC",71,8
281,https://twitter.com/BBCNews/status/1818946154240913793#m,GB's Hodgkins-Byrne & Wilde win rowing bronze https://bbc.in/3Sw3NWY,"Aug 1, 2024 · 9:45 AM UTC",66,2
282,https://twitter.com/BBCNews/status/1818945506153816337#m,Arrests after teenager's ears partially bitten off https://bbc.in/46tp9de,"Aug 1, 2024 · 9:42 AM UTC",37,15
283,https://twitter.com/BBCNews/status/1818944411423662118#m,"Southport knife attack suspect, 17, appears in court https://bbc.in/3Ynz8Pm","Aug 1, 2024 · 9:38 AM UTC",193,77
284,https://twitter.com/BBCBreaking/status/1818944049757212790#m,"17-year-old suspect appears in court charged with murders of three girls in Southport, UK - follow live https://bbc.in/3WB5IuK","Aug 1, 2024 · 9:37 AM UTC",264,2
285,https://twitter.com/BBCNews/status/1818941810238009698#m,Vybz Kartel freed after murder conviction overturned https://bbc.in/3WOk9gh,"Aug 1, 2024 · 9:28 AM UTC",34,6
286,https://twitter.com/BBCNews/status/1818940421281558869#m,Harland & Wolff agrees new loan https://bbc.in/4dnHyKQ,"Aug 1, 2024 · 9:22 AM UTC",20,4
287,https://twitter.com/BBCNews/status/1818939294431506598#m,Large rise in people living alone in Scotland - census https://bbc.in/3yoWedQ,"Aug 1, 2024 · 9:18 AM UTC",24,3
288,https://twitter.com/BBCNews/status/1818936448080355734#m,BMA calls for ban on puberty blockers to be lifted https://bbc.in/3SxBI1t,"Aug 1, 2024 · 9:06 AM UTC",4172,562
289,https://twitter.com/BBCNews/status/1818934451973341187#m,"50 jobs, 30 years: The unseen labour of an Indian female worker https://bbc.in/3LNV3HP","Aug 1, 2024 · 8:59 AM UTC",37,19
290,https://twitter.com/BBCNews/status/1818928184869453964#m,Italy opens controversial migrant centre in Albania https://bbc.in/3YrJoWD,"Aug 1, 2024 · 8:34 AM UTC",55,41
291,https://twitter.com/BBCNews/status/1818928183468499223#m,Hopes for survivors fade in deadly India landslides https://bbc.in/3ycvrS3,"Aug 1, 2024 · 8:34 AM UTC",26,6
292,https://twitter.com/BBCNews/status/1818925703720554624#m,'I got fined £11k over a five-minute parking rule' https://bbc.in/46qY9uZ,"Aug 1, 2024 · 8:24 AM UTC",73,70
293,https://twitter.com/BBCNews/status/1818925702344741325#m,Twin cannot accept death of sister found under coat at A&E https://bbc.in/46snhS8,"Aug 1, 2024 · 8:24 AM UTC",28,8
294,https://twitter.com/BBCNews/status/1818925700797108306#m,"Hull to woo Londoners with 5,000 pots of chip spice https://bbc.in/3WLgNub","Aug 1, 2024 · 8:24 AM UTC",45,26
295,https://twitter.com/BBCNews/status/1818924759729508436#m,The journey that city's recycled glass will take https://bbc.in/3yp7erz,"Aug 1, 2024 · 8:20 AM UTC",20,7
296,https://twitter.com/BBCNews/status/1818924246262747453#m,Canada qualify despite six-point deduction https://bbc.in/3ycuUzx,"Aug 1, 2024 · 8:18 AM UTC",25,13
297,https://twitter.com/BBCNews/status/1818922275434803445#m,'Being far away from family made recovery harder' https://bbc.in/3SySPjr,"Aug 1, 2024 · 8:10 AM UTC",23,16
298,https://twitter.com/BBCNews/status/1818906875288494498#m,"Over 70,000 vehicles fined for driving in bus lane https://bbc.in/4do3be3","Aug 1, 2024 · 7:09 AM UTC",50,38
299,https://twitter.com/BBCNews/status/1818906025191194740#m,The Mexican women aiding migrants on their perilous journey north https://bbc.in/4dpxSzp,"Aug 1, 2024 · 7:06 AM UTC",45,45
300,https://twitter.com/BBCNews/status/1818902473572012376#m,House price growth picks up in July as wages rise https://bbc.in/3zZDDW3,"Aug 1, 2024 · 6:51 AM UTC",42,37
