,link,text,date,No_of_Likes,No_of_tweets
33,https://twitter.com/BBCNews/status/1820408391635734985#m,Hospital staff to strike over job privatisation https://bbc.in/3A8Zcnp,"Aug 5, 2024 · 10:35 AM UTC",52,21
34,https://twitter.com/BBCNews/status/1820406923205771611#m,Liam Kerr enters race for Scottish Tory leadership https://bbc.in/3LSzw0F,"Aug 5, 2024 · 10:30 AM UTC",18,10
35,https://twitter.com/BBCNews/status/1820401773791560024#m,GB take bronze in thrilling triathlon mixed team relay https://bbc.in/4fzKc1O,"Aug 5, 2024 · 10:09 AM UTC",93,12
36,https://twitter.com/BBCNews/status/1820401116124697012#m,Major incident declared after hospital loses power https://bbc.in/3AnbzvS,"Aug 5, 2024 · 10:07 AM UTC",35,19
37,https://twitter.com/BBCNews/status/1820399101034299483#m,Mammoth graveyard yields more fossil wonders https://bbc.in/3LX11pO,"Aug 5, 2024 · 9:59 AM UTC",43,2
38,https://twitter.com/BBCNews/status/1820397675063197736#m,Chris McCausland announced as first Strictly contestant https://bbc.in/3WNsbG6,"Aug 5, 2024 · 9:53 AM UTC",294,86
39,https://twitter.com/BBCPolitics/status/1820391636355997964#m,"""These are racist, anti-immigrant riots and we need proper debate and proper analysis in the House of Commons""  Labour MP Diane Abbott urges the government to recall Parliament in the wake of violent unrest across the country  Follow live https://bbc.in/3LQ4LK3","Aug 5, 2024 · 9:29 AM UTC",344,278
40,https://twitter.com/BBCNews/status/1820388000234111238#m,Where the greatest ever Olympic 100m final was won https://bbc.in/3WOdz9w,"Aug 5, 2024 · 9:14 AM UTC",59,19
41,https://twitter.com/BBCNews/status/1820386918187614609#m,Mother's warning over asbestos-related cancer https://bbc.in/4clegM8,"Aug 5, 2024 · 9:10 AM UTC",33,17
42,https://twitter.com/BBCNews/status/1820383701466792186#m,Man in his 50s dies after road crash https://bbc.in/3LTqKQc,"Aug 5, 2024 · 8:57 AM UTC",12,5
43,https://twitter.com/BBCNews/status/1820370613141111286#m,Second boy charged with murder after house fire https://bbc.in/3yuRDqv,"Aug 5, 2024 · 8:05 AM UTC",32,0
44,https://twitter.com/BBCNews/status/1820367046154031539#m,Man in critical condition after festival stabbing https://bbc.in/4ccFwvZ,"Aug 5, 2024 · 7:51 AM UTC",32,25
45,https://twitter.com/BBCBreaking/status/1820360559285428521#m,"Graham Thorpe, the former England and surrey cricketer, has died at the age of 55 https://bbc.in/3YzhVT4","Aug 5, 2024 · 7:25 AM UTC",453,102
46,https://twitter.com/BBCNews/status/1820351431964008943#m,TV show winner delivers football kits to children https://bbc.in/3WARQjM,"Aug 5, 2024 · 6:49 AM UTC",119,18
47,https://twitter.com/BBCNews/status/1820347788196028822#m,Should landmark love lock bridge be preserved? https://bbc.in/4dtKllL,"Aug 5, 2024 · 6:35 AM UTC",66,36
48,https://twitter.com/BBCNews/status/1820342463938072728#m,E. coli at swim site '20 times minimum standards' https://bbc.in/3YxKrob,"Aug 5, 2024 · 6:13 AM UTC",72,11
49,https://twitter.com/BBCNews/status/1820341215750934687#m,What is happening on day 10 at the Olympics? https://bbc.in/3WSJJkh,"Aug 5, 2024 · 6:09 AM UTC",29,20
50,https://twitter.com/BBCNews/status/1820339043911057430#m,How wonky pub's blaze fuelled a resistance movement https://bbc.in/4droP0X,"Aug 5, 2024 · 6:00 AM UTC",44,8
51,https://twitter.com/BBCNews/status/1820338262906405106#m,Calls to abolish 'outrageous' hospital parking fees https://bbc.in/3LV7aTH,"Aug 5, 2024 · 5:57 AM UTC",152,33
52,https://twitter.com/BBCNews/status/1820337414507831532#m,Drug shortages: 'I'm eating less and rationing pills' https://bbc.in/46vNak1,"Aug 5, 2024 · 5:53 AM UTC",26,16
53,https://twitter.com/BBCNews/status/1820336583981023262#m,Peaty questions China relay win amid doping row https://bbc.in/3YqQkUa,"Aug 5, 2024 · 5:50 AM UTC",74,31
54,https://twitter.com/BBCNews/status/1820335752959365203#m,Derek Redmond relives iconic Olympic moment https://bbc.in/3YwsJBB,"Aug 5, 2024 · 5:47 AM UTC",42,14
55,https://twitter.com/BBCNews/status/1820335108605215144#m,Skeet shooter's mum says silver is 'icing on cake' https://bbc.in/3A7DVui,"Aug 5, 2024 · 5:44 AM UTC",61,13
56,https://twitter.com/BBCNews/status/1820334074164036076#m,Victoria line hottest on London Underground https://bbc.in/3YCwwgN,"Aug 5, 2024 · 5:40 AM UTC",83,27
57,https://twitter.com/BBCNews/status/1820333506079105069#m,Mammoth graveyard yields more fossil wonders https://bbc.in/46xgeaS,"Aug 5, 2024 · 5:38 AM UTC",68,6
58,https://twitter.com/BBCNews/status/1820329368603783196#m,Hodgkinson & Kerr cruise through to set up title bids https://bbc.in/3Abr3Do,"Aug 5, 2024 · 5:21 AM UTC",50,5
59,https://twitter.com/BBCNews/status/1820328021540077958#m,No 10 to hold Cobra meeting after weekend of escalating violence https://bbc.in/3LSRH6s,"Aug 5, 2024 · 5:16 AM UTC",92,0
60,https://twitter.com/BBCNews/status/1820127896691716455#m,McIlroy misses out on Olympic medal at Le Golf National https://bbc.in/3SYOgPR,"Aug 4, 2024 · 4:01 PM UTC",72,107
61,https://twitter.com/BBCBreaking/status/1820124022077624681#m,"""You will regret taking part,"" says PM Keir Starmer as he describes ""far-right thuggery"" on UK streets   Follow live https://bbc.in/3yh2hRM","Aug 4, 2024 · 3:45 PM UTC",914,0
62,https://twitter.com/BBCBreaking/status/1820089694207488131#m,"Crowd chanting ""get them out"" gathers at hotel in Rotherham, UK, with bottles thrown at police and windows broken    Follow updates https://bbc.in/3yt4Lwh","Aug 4, 2024 · 1:29 PM UTC",518,0
63,https://twitter.com/BBCNews/status/1820088115077190106#m,Magnificent McClenaghan completes gymnastics 'Grand Slam' https://bbc.in/3SBYeGm,"Aug 4, 2024 · 1:23 PM UTC",134,70
